Number,Address,Address,City,latitude,longitude
0,I 70 EASTBOUND / E G,0 I 70 EASTBOUND / E G,"Saint Louis Mo,",38.6270025,-90.1994042
301,N TAYLOR AVE,301 N TAYLOR AVE,"Saint Louis Mo,",38.644016,-90.257496
4563,DAVISON AVE,4563 DAVISON AVE,"Saint Louis Mo,",38.691783,-90.255022
3305,KEOKUK ST,3305 KEOKUK ST,"Saint Louis Mo,",38.585993,-90.24
3621,IRON,3621 IRON,"Saint Louis Mo,",38.563826,-90.258916
3621,IRON,3621 IRON,"Saint Louis Mo,",38.563826,-90.258916
2720,KEOKUK ST,2720 KEOKUK ST,"Saint Louis Mo,",38.584623,-90.230418
2720,KEOKUK ST,2720 KEOKUK ST,"Saint Louis Mo,",38.584623,-90.230418
5823,ERA AVE,5823 ERA AVE,"Saint Louis Mo,",38.712232,-90.253317
5823,ERA AVE,5823 ERA AVE,"Saint Louis Mo,",38.712232,-90.253317
5632,HILLER PL,5632 HILLER PL,"Saint Louis Mo,",38.708254,-90.252555
6011,PENNSYLVANIA AVE,6011 PENNSYLVANIA AVE,"Saint Louis Mo,",38.559426,-90.245885
4755,NEWBERRY TER,4755 NEWBERRY TER,"Saint Louis Mo,",38.656075,-90.255794
801,N 11TH ST,801 N 11TH ST,"Saint Louis Mo,",38.632983,-90.194453
3751,DELOR ST,3751 DELOR ST,"Saint Louis Mo,",38.574602,-90.253633
4900,DR MARTIN LUTHER KIN,4900 DR MARTIN LUTHER KIN,"Saint Louis Mo,",38.661831,-90.259068
500,WASHINGTON AVE,500 WASHINGTON AVE,"Saint Louis Mo,",38.629956,-90.188363
923,HORNSBY AVE,923 HORNSBY AVE,"Saint Louis Mo,",38.718714,-90.232195
5590,W FLORISSANT AVE,5590 W FLORISSANT AVE,"Saint Louis Mo,",38.700554,-90.244112
4600,RIVERVIEW BLVD,4600 RIVERVIEW BLVD,"Saint Louis Mo,",38.693604,-90.26047
3531,CALIFORNIA AVE,3531 CALIFORNIA AVE,"Saint Louis Mo,",38.591463,-90.230616
3933,ASHLAND AVE,3933 ASHLAND AVE,"Saint Louis Mo,",38.66204,-90.224964
2645,MINNESOTA AVE,2645 MINNESOTA AVE,"Saint Louis Mo,",38.606458,-90.232179
956,HAMILTON AVE,956 HAMILTON AVE,"Saint Louis Mo,",38.660373,-90.289526
3456,PENNSYLVANIA AVE,3456 PENNSYLVANIA AVE,"Saint Louis Mo,",38.593157,-90.233548
