Number,Street,Address,City,latitude ,longitude
2311,RUSSELL BLVD,2311 RUSSELL BLVD,"Saint Louis MO,",38.610751,-90.220194
5600,PERSHING AVE,5600 PERSHING AVE,"Saint Louis MO,",38.648356,-90.283132
4808,LEDUC ST,4808 LEDUC ST,"Saint Louis MO,",38.663685,-90.254474
8721,ANNETTA ST,8721 ANNETTA ST,"Saint Louis MO,",38.716465,-90.238223
4008,CORA AVE,4008 CORA AVE,"Saint Louis MO,",38.674733,-90.240325
4105,CALIFORNIA AVE,4105 CALIFORNIA AVE,"Saint Louis MO,",38.581139,-90.232739
201,N 17TH ST,201 N 17TH ST,"Saint Louis MO,",38.630679,-90.204942
8512,PARK LN,8512 PARK LN,"Saint Louis MO,",38.714061,-90.247747
6105,ETZEL AVE,6105 ETZEL AVE,"Saint Louis MO,",38.66564,-90.292329
6001,W FLORISSANT AVE,6001 W FLORISSANT AVE,"Saint Louis MO,",38.709558,-90.251765
4000,LABADIE AVE,4000 LABADIE AVE,"Saint Louis MO,",38.660062,-90.228546
4716,VERNON AVE,4716 VERNON AVE,"Saint Louis MO,",38.656896,-90.254876
940,HARLAN AVE,940 HARLAN AVE,"Saint Louis MO,",38.722256,-90.233084
4041,PECK ST,4041 PECK ST,"Saint Louis MO,",38.66412,-90.21344
4210,ITASKA ST,4210 ITASKA ST,"Saint Louis MO,",38.582674,-90.265785
3841,GUSTINE AVE,3841 GUSTINE AVE,"Saint Louis MO,",38.587959,-90.251984
6023,VIRGINIA AVE,6023 VIRGINIA AVE,"Saint Louis MO,",38.562352,-90.246213
5725,TERRY AVE,5725 TERRY AVE,"Saint Louis MO,",38.677687,-90.273514
4599,PAGE BLVD,4599 PAGE BLVD,"Saint Louis MO,",38.657168,-90.252799
3010,THOMAS ST,3010 THOMAS ST,"Saint Louis MO,",38.643668,-90.220305
1817,MCLARAN AVE,1817 MCLARAN AVE,"Saint Louis MO,",38.718539,-90.25032
4753,S COMPTON AVE,4753 S COMPTON AVE,"Saint Louis MO,",38.570337,-90.24201
4404,LABADIE AVE,4404 LABADIE AVE,"Saint Louis MO,",38.665122,-90.240107
