Address,City,Latitude,Longitude,content
"3200	MONTGOMERY ST	","Saint Louis Mo,"," 	38.652048",-90.220763,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"6313	LAURA AVE	","Saint Louis Mo,"," 	38.703142",-90.264519,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"2807	THOMAS ST	","Saint Louis Mo,"," 	38.643888",-90.216126,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"4501	MINNESOTA AVE	","Saint Louis Mo,"," 	38.574617",-90.238762,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"2931	HEBERT ST	","Saint Louis Mo,"," 	38.657868",-90.214767,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"5800	CABANNE AVE	","Saint Louis Mo,"," 	38.658796",-90.286194,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"3546	GRAVOIS AVE	","Saint Louis Mo,"," 	38.592974",-90.242964,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"4501	MINNESOTA AVE	","Saint Louis Mo,"," 	38.574617",-90.238762,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"10101	RIVERVIEW DR	","Saint Louis Mo,"," 	38.746992",-90.197247,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"10101	RIVERVIEW DR	","Saint Louis Mo,"," 	38.746992",-90.197247,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"5926	ALPHA AVE	","Saint Louis Mo,"," 	38.712617",-90.250604,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"1501	MARKET ST	","Saint Louis Mo,"," 	38.62852",-90.202493,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"4169	PARKER AVE	","Saint Louis Mo,"," 	38.596883",-90.25802,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"2140	HAMPTON AVE	","Saint Louis Mo,"," 	38.616231",-90.287043,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"4010	CORA AVE	","Saint Louis Mo,"," 	38.67477",-90.240299,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"4737	MCMILLAN AVE	","Saint Louis Mo,"," 	38.654022",-90.256396,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"3319	POTOMAC ST	","Saint Louis Mo,"," 	38.59316",-90.238669,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"3535	SIDNEY ST	","Saint Louis Mo,"," 	38.608037",-90.240174,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"1508	WHITTIER ST	","Saint Louis Mo,"," 	38.653799",-90.238562,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"2318	N EUCLID AVE	","Saint Louis Mo,"," 	38.665671",-90.255854,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"3918	PAGE BLVD	","Saint Louis Mo,"," 	38.648994",-90.234632,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"5926	ALPHA AVE	","Saint Louis Mo,"," 	38.712617",-90.250604,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"1465	S GRAND BLVD	","Saint Louis Mo,"," 	38.621436",-90.23843,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"901	COLE ST	","Saint Louis Mo,"," 	38.634689",-90.19153,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"3425	GERALDINE AVE	","Saint Louis Mo,"," 	38.676865",-90.257236,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"5389	COTE BRILLIANTE AVE	","Saint Louis Mo,"," 	38.669678",-90.268471,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"5424	GERALDINE AVE	","Saint Louis Mo,"," 	38.693006",-90.240503,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"5424	GERALDINE AVE	","Saint Louis Mo,"," 	38.693006",-90.240503,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"3417	SEMPLE AVE	","Saint Louis Mo,"," 	38.67895",-90.264167,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"5746	GOODFELLOW PL	","Saint Louis Mo,"," 	38.681842",-90.272048,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
"4334	LEE AVE	","Saint Louis Mo,"," 	38.673693",-90.231289,"""<b><a href='http://www.samurainoodle.com'>Samurai Noodle</a></b>"""
