Number,Street,Address,City,Latitude,Longitude
5939,GOODFELLOW BLVD,5939 GOODFELLOW BLVD,"Saint Louis MO,",38.714575,-90.254046
4451,WASHINGTON AVE,4451 WASHINGTON AVE,"Saint Louis MO,",38.648735,-90.25262
1518,CASS AVE,1518 CASS AVE,"Saint Louis MO,",38.641847,-90.197849
5949,WABADA AVE,5949 WABADA AVE,"Saint Louis MO,",38.677672,-90.282343
4745,HAMMETT PL,4745 HAMMETT PL,"Saint Louis MO,",38.664444,-90.25201
4473,CLARENCE AVE,4473 CLARENCE AVE,"Saint Louis MO,",38.678118,-90.227908
5321,ST LOUIS AVE,5321 ST LOUIS AVE,"Saint Louis MO,",38.674704,-90.262478
6600,MINNESOTA AVE,6600 MINNESOTA AVE,"Saint Louis MO,",38.555865,-90.25155
5353,COTE BRILLIANTE AV,5353 COTE BRILLIANTE AV,"Saint Louis MO,",38.669223,-90.267426
4548,MARGARETTA AVE,4548 MARGARETTA AVE,"Saint Louis MO,",38.680619,-90.254507
1000,LAMI ST,1000 LAMI ST,"Saint Louis MO,",38.60398,-90.207948
619,WITHERS AVE,619 WITHERS AVE,"Saint Louis MO,",38.679595,-90.208338
1211,HOGAN ST,1211 HOGAN ST,"Saint Louis MO,",38.640045,-90.202851
1462,ARLINGTON AVE,1462 ARLINGTON AVE,"Saint Louis MO,",38.666337,-90.271197
7800,N BROADWAY,7800 N BROADWAY,"Saint Louis MO,",38.705876,-90.230073
3849,COTTAGE AVE,3849 COTTAGE AVE,"Saint Louis MO,",38.654787,-90.227651
2805,N 19TH ST,2805 N 19TH ST,"Saint Louis MO,",38.650964,-90.200939
4029,PECK ST,4029 PECK ST,"Saint Louis MO,",38.66372,-90.213725
4029,PECK ST,4029 PECK ST,"Saint Louis MO,",38.66372,-90.213725
2700,N 11TH ST,2700 N 11TH ST,"Saint Louis MO,",38.651736,-90.193665
5884,TERRY AVE,5884 TERRY AVE,"Saint Louis MO,",38.679352,-90.277837
8549,CHURCH RD,8549 CHURCH RD,"Saint Louis MO,",38.716056,-90.233223
3521,KOSSUTH AVE,3521 KOSSUTH AVE,"Saint Louis MO,",38.664534,-90.213403
4432,ELMBANK AVE,4432 ELMBANK AVE,"Saint Louis MO,",38.667266,-90.239843
4432,ELMBANK AVE,4432 ELMBANK AVE,"Saint Louis MO,",38.667266,-90.239843
3722,UPTON ST,3722 UPTON ST,"Saint Louis MO,",38.556391,-90.269109
5128,WABADA AVE,5128 WABADA AVE,"Saint Louis MO,",38.668584,-90.261853
2918,California Ave,2918 California Ave,"Saint Louis MO,",38.601748,-90.228239
